
// new treasuretable "TUT_Chest_Potions"
new treasuretable "DIQ_OBJ_Clothing_Container_TT"
CanMerge 1
new subtable "1,1"
object category "I_MEQ_Item_Container_Cloaks",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_Belts",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_GlovesBoots",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_Underwear",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_Jewelry",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Item_Container_UnderwearArmour",1,0,0,0,0,0,0,0

new treasuretable "DIQ_OBJ_Dye_Container_TT"
CanMerge 1
new subtable "1,1"
object category "I_MEQ_Item_Container_Dyes",1,0,0,0,0,0,0,0


new treasuretable "MEQ_Item_Container_Cloaks_TT"
CanMerge 1
new subtable "1,1"
object category "I_MEQ_Cloak_HalflingTop",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_BeltedHalflingTop",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CorsetA",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CinchedCorsetA",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CorsetedHalflingTop",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_HumanTopA",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_BeltedHumanTopA",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_TieflingTop",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_PlainShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CorsetedShirtD",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CorsetedShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_BeltedShirt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_ShoulderBelt",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_BarbarianTop",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_BarbarianTop2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_MEQ_Cloak_CorsetEForRichDress",1,0,0,0,0,0,0,0
