treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_CONT_Modular_OS_Cloak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONT_Modular_OS_Helmet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_CONT_Modular_OS_Underwear",1,0,0,0,0,0,0,0
new treasuretable "CONT_Modular_OS_Cloak"
CanMerge 1
new subtable "1,1"
object category "I_AME_MS_Dark_Justiciar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Sharran_Shadowheart",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Ketheric",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Myrkul_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Aylin_Armor",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Githyanki_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_2",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Drow_3",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Oathbreaker",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Wavemother",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Abdirak",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Dream_Guardian",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_Lucretious",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_AME_MS_FlamingFist_1",1,0,0,0,0,0,0,0
new subtable "1,1"
