new entry "EDEN_DRESS"
type "Armor"
using "ARM_Leather_Body"
data "Level" ""
data "Slot" "Breast"
data "ValueOverride" "1"
data "ValueLevel" ""
data "ValueScale" ""
data "ValueRounding" "1"
data "Weight" "1.5"
data "Rarity" "Legendary"
data "RootTemplate" "421182f1-4593-4d83-986e-5d7a9fe28cbe"
data "Boosts" ""
data "PassivesOnEquip" ""
data "ArmorType" "Leather"
data "Shield" "False"
data "Armor Class Ability" "Dexterity"
data "ArmorClass" "11"
data "MinLevel" "1"
data "Proficiency Group" "LightArmor"
