new entry "FANG_VampireBite_Astarion"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerTurn"
data "SpellProperties" "TARGET:IF(not HasStatus('SLEEPING') and not HasStatus('SNEAKING', context.Source)):DealDamage(2d4, Piercing);TARGET:IF(not Dead() and not Tagged('REALLY_GALE') and not (Tagged('REALLY_KARLACH') and not Tagged('KARLACH_CAN_TOUCH'))):RegainHitPoints(SELF, 2d4);TARGET:IF(Dead() or Tagged('REALLY_GALE')):ApplyStatus(SELF, POISONED, 100, 3); TARGET:IF(Tagged('REALLY_KARLACH') and not Tagged('KARLACH_CAN_TOUCH') and not Dead()):ApplyStatus(SELF, BURNING, 100, 3);TARGET:IF(Tagged('HUMANOID') and not Tagged('REALLY_GALE') and not (Tagged('REALLY_KARLACH') and not Tagged('KARLACH_CAN_TOUCH')) and not Dead()):ApplyStatus(SELF, ASTARION_HAPPY, 100, -1);TARGET:IF(Tagged('HUMANOID') and not Tagged('REALLY_GALE') and not (Tagged('REALLY_KARLACH') and not Tagged('KARLACH_CAN_TOUCH')) and not Dead()):ApplyStatus(ASTARION_WEAK,100,-1);"
data "TargetRadius" "1.5"
data "DeathType" "DoT"
data "TargetConditions" "not Self() and not Item() and not Tagged('UNDEAD') and not Tagged('PLANT') and not Tagged('ELEMENTAL') and not Tagged('CONSTRUCT') and not Tagged('OOZE') and not HasStatus('SG_Petrified',context.Target)"
data "Icon" "Action_VampireBite"
data "DisplayName" "ha0c0a87dg784eg42b5gb7e3g7d95db807872;1"
data "Description" "h08442a9bg2450g4957g9597g96be4da81fc3;5"
data "DescriptionParams" "DealDamage(2d4,Piercing)"
data "ExtraDescription" "h771029e9g6091g4f41g8bc5g35b8f7fac60b;2"
data "TooltipDamageList" "RegainHitPoints(2d4);DealDamage(2d4,Piercing,,,,ad727a13-c6f0-4b5b-aefd-aac79c6ed46e)"
data "TooltipStatusApply" "ApplyStatus(ASTARION_HAPPY, 100, -1);ApplyStatus(ASTARION_WEAK,100,-1)"
data "CastSound" "Action_Cast_VampireBite"
data "TargetSound" "Action_Impact_VampireBite"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "f13da615-33ae-412e-8314-4ac4fc560dbf,,;0b0775f0-96b0-4f8e-994d-5bfbae3ec0f0,,;01fe9641-f630-4ed2-8035-1186dc7a5803,,;e6643712-8521-4c83-b518-1a10d61da4ef,,;f28943e2-f5e6-4133-80ef-8c7c4f628920,,;1c693368-c595-46bd-b8c5-e406f9486ef8,,;a6ff21b9-291e-44c8-bf87-8de3703c5e97,,;,,;,,"
data "SpellFlags" "IsMelee;Stealth;IsHarmful;CannotTargetTerrain;CannotTargetItems"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "7fb582d5-8a10-4e14-99c6-cf3856ed81a4"
data "CastEffect" "beb643ec-4b17-4618-951a-e98230f757b6"
data "TargetEffect" "e415a119-48eb-407e-9e3a-d48266a3b902"
data "DamageType" "Piercing"
