treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_CONT_FashionInTheStreets",1,0,0,0,0,0,0,0
new treasuretable "CONT_FashionInTheStreets_TT"
CanMerge 1
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female01_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female01_Camp_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_aristo_female01",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_aristo_female01_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female02_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female02_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_aristo_female02_Camp_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_aristo_female02",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_aristo_female02_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle03",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle03_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle03_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Clothes_f_civ_middle03_Camp_TMTS",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_civ_middle03",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Boots_f_civ_middle03_Camp",1,0,0,0,0,0,0,0
new subtable "1,1"
